Question,Answer1,Answer2,Answer3,Answer4,Image,Answer
การขับรถผ่านทางร่วมทางเเยกต้องปฏิบัติอย่างไร,ปฏิบัติตามสัญญาณไฟจราจรหรือกฎจราจรอย่างเคร่งครัด,เมื่อพบป้ายเตือนทางร่วมทางเเยกให้ขับรถด้วยความเร็วปกติ,หากไม่มีสัญญาณไฟจราจร ให้รถคันใหญ่กว่าผ่านทางร่วมทางเเยกไปก่อน,เมื่อพบป้ายเตือนสัญญาณไฟบริเวณทางร่วมทางเเยกให้ขับรถไปตามปกติ,-,1
ผู้ขับขี่ต้องการเลี้ยวรถต้องปฎิบัติอย่างไร,ชะลอรถเเละเปิดไฟเลี้ยวก่อนถึงทางเลี้ยวไม่น้อยกว่า 30 เมตร,หยุดรถเพื่อเตรียมตัวเลี้ยว,เร่งความเร็วก่อนเลี้ยว,เปิดไฟเลี้ยวก่อนถึงทางเลี้ยว 20 เมตร,-,1
การหยุดรถบริเวณทางเเยกผู้ขับขี่ต้องปฏิบัติอย่างไร,หยุดทับเส้นเเนวหยุด,หยุดหลังเส้นเเนวหยุด,หยุดเลยเส้นเเนวหยุด,หยุดเลยป้ายหยุด,-,2
บริเวณใดห้ามเเซง,ทางตรง,ทางที่ปลอดภัย,ทางโล่ง,ทางโค้งรัศมีเเคบ,-,4
การจอดรถต้องจอดให้ห่างจากขอบทางไม่เกินกี่เซนติเมตร,ห่างไม่เกิน 35 เซนติเมตร,ห่างไม่เกิน 30 เมตร,ห่างไม่เกิน 25 เซนติเมตร,ห่างไม่เกิน 40 เซนติเมตร,-,3
การขับรถเเซงรถคันหน้าต้องเเซงด้านขวามือ ยกเว้นกรณีใดที่สามารถเเซงด้านซ้ายมือได้,เมื่อรถที่ถูกเเซงกำลังเลี้ยวขวา หรือให้สัญญาณว่าจะเลี้ยวขวา,เเซงรถคันอื่นทางด้านซ้ายในทางเดินรถช่องทางเดียว,เเซงรถคันอื่นในช่องทางขวาของรถที่ถูกเเซง,เเซงรถคันอื่นทางด้านซ้ายขณะรถวิ่งบนสะพาน,-,1
รถในข้อใดที่สามารถนำมาใช้ในทางได้,รถที่ไม่ติดเเผ่นป้ายทะเบียนรถ,รถที่จดทะเบียนเเละเสียภาษีเเล้ว,รถที่ขาดต่อภาษี,รถที่เเจ้งเลิกใช้ตลอดไป,-,2
รถในข้อใด ห้ามนำมาใช้ในทาง,รถที่มีสภาพไม่มั่นคงเเข็งเเรง,รถที่ติดเเผ่นป้ายทะเบียนของทางราชการกำหนด,รถที่จดทะเบียนเเละเสียภาษีเเล้ว,รถที่อุปกรณ์ส่วนควบครบถ้วน,-,1
เขตปลอดภัย หมายความว่าอย่างไร,พื้นที่ที่มีเครื่องหมายเเสดงไว้ให้ผู้ขับขี่เห็นว่าปลอดภัยขับต่อไปได้,เขตที่ผู้ขับขี่สามารถนำรถผ่านเข้าไปได้,พื้นที่ในทางเดินรถที่มีเครื่องหมายเเสดงไว้ให้เห็นได้ชัดเจนทุกเวลาสำหรับให้คนเดินเท้าที่ข้ามทางหยุดรอ หรือให้คนที่ขึ้นหรือลงจากรถหยุดรอก่อนจะข้ามทางไป,เขตที่คนเดินเท้าสามารถข้ามทางได้โดยไม่ต้องหยุดรอ,-,3
รถในข้อใดที่สามารถนำมาใช้ในทางเดินรถได้,รถที่มีเสียงดังกว่าเกณฑ์ที่ราชการกำหนด,รถที่มีสิ่งลากถูไปบนทางเดินรถ,รถที่มีล้อไม่ใช่ยาง,รถที่มีเสียงเครื่องยนต์ดังในระดับ 80 เดซิเบล,-,4
สัญญาณจราจรไฟสรีเเดงที่ทำเป็นรูปกากบาทเฉียงอยู่เหนือช่องเดินรถ ห้ามมิให้ผู้ขับขี่ขับรถอย่างไร,จอดรถในช่องเดินรถนั้น,หยุดเเละจอดรถในช่องเดินรถนั้น,ขับรถในช่องเดินรถนั้น,หยุดรถในช้องเดินรถนั้น,-,3
เมื่อพนักงานจราจรยืนเเละเหยียดเเขนซ้ายออกไปเสมอระดับไหล่ ผู้ขับขี่ซึ่งขับรถมาจากทางด้านไหนของพนักงานจราจรจะต้องหยุดรถ,ด้านข้าง,ด้านหน้าเเละด้านหลัง,ด้านหลัง,ด้านหน้า,Data212,3
เมื่อพนักงานจราจรยืนเเละเหยียดเเขนขวาท่อนล่างตั้งฉากกับเเขนท่อนบนเเละตั้งฝ่ามือขึ้นผู้ขับขี่ซึ่งขับรถมาจากทางด้านไหนของพนักงานจะต้องหยุดรถ,ด้านหลัง,ด้านหน้าเเละด้านหลัง,ด้านหน้า,ด้านข้างเเละด้านหลัง,Data213,2
